id,gloss,count,speaker_role,language,target_child_name,target_child_age,target_child_sex,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
12177685,Dachs,1,Unidentified,deu,Christiane,146.00299800817265,NA,German,16,245,17622,17619,28407
12198497,Dachs,2,Mother,deu,Caroline,27.39481303517526,NA,German,16,246,17716,17715,28536
12435261,dachs,1,Mother,deu,Anne,40.52649951744389,female,German,16,250,17982,17981,28968
12617558,Dachs,2,Target_Child,deu,Anna,40.000821372102095,female,German,16,250,18136,18136,29189
12618826,Dachs,4,Investigator,deu,Anna,40.000821372102095,female,German,16,250,18143,18136,29189
12650811,Dachs,2,Target_Child,deu,Falko,41.559374935830306,male,German,16,250,18165,18165,29244
12689605,Dachs,1,Target_Child,deu,Leon,25.29620731431857,male,German,16,250,18211,18211,29279
12692145,Dachs,1,Target_Child,deu,Leo,34.789215384299474,male,German,16,250,18203,18203,29277
13002874,Dachs,2,Target_Child,deu,Leo,32.52633524302347,male,German,16,251,18301,18301,29657
13003264,Dachs,3,Father,deu,Leo,32.52633524302347,male,German,16,251,18309,18301,29657
13006314,Dachs,1,Mother,deu,Leo,32.65775477935892,male,German,16,251,18302,18301,29661
13011730,Dachs,1,Target_Child,deu,Leo,32.69060966344278,male,German,16,251,18301,18301,29662
13012192,Dachs,1,Father,deu,Leo,32.69060966344278,male,German,16,251,18309,18301,29662
13014922,Dachs,3,Target_Child,deu,Leo,32.88773896794595,male,German,16,251,18301,18301,29668
13016915,Dachs,4,Investigator,deu,Leo,32.88773896794595,male,German,16,251,18303,18301,29668
13037917,Dachs,2,Target_Child,deu,Leo,33.099242284235814,male,German,16,251,18301,18301,29674
13038671,Dachs,3,Father,deu,Leo,33.099242284235814,male,German,16,251,18309,18301,29674
13191465,Dachs,1,Mother,deu,Leo,50.493849976385555,male,German,16,251,18302,18301,29842
13246490,Dachs,1,Brother,deu eng,Corinna,18.42748311053615,female,German,16,252,18333,18330,29898
13283961,Dachs,3,Target_Child,deu eng,Corinna,38.19790960800017,female,German,16,252,18330,18330,29937
13284731,Dachs,2,Investigator,deu eng,Corinna,38.19790960800017,female,German,16,252,18346,18330,29937
13323058,Dachs,4,Target_Child,deu eng,Corinna,53.16536273845459,female,German,16,252,18330,18330,29961
13323787,Dachs,4,Investigator,deu eng,Corinna,53.16536273845459,female,German,16,252,18346,18330,29961
13406032,Dachs,1,Investigator,deu,Cosima,41.427955399494856,female,German,16,252,18363,18359,30076
13459948,Dachs,2,Mother,deu,Pauline,28.920511714819607,female,German,16,252,18384,18383,30188
